codigo_producto,descripcion,negocio,seccion,linea,categoria,abastecimiento,comuna,region,tienda,zonal,mes,año,semestre,fecha,motivo,ubicación_motivo,merma_unidad,merma_monto,merma_unidad_p,merma_monto_p
6532,TALLARINES 78 LUCCHETTI 400 GR,PGC,PGC ALIMENTACION,ALIMENTO BASICO,FIDEOS Y PASTAS,CENTRALIZADO,TEMUCO,IX,TEMUCO III,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-11,CLIENTES,SALA DE VENTAS,-10,-479,10,479
6532,TALLARINES 78 LUCCHETTI 400 GR,PGC,PGC ALIMENTACION,ALIMENTO BASICO,FIDEOS Y PASTAS,CENTRALIZADO,TEMUCO,IX,TEMUCO III,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-13,CLIENTES,SALA DE VENTAS,-10,-479,10,479
6532,TALLARINES 78 LUCCHETTI 400 GR,PGC,PGC ALIMENTACION,ALIMENTO BASICO,FIDEOS Y PASTAS,CENTRALIZADO,TEMUCO,IX,TEMUCO III,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-23,CLIENTES,SALA DE VENTAS,-20,-968,20,968
6532,TALLARINES 78 LUCCHETTI 400 GR,PGC,PGC ALIMENTACION,ALIMENTO BASICO,FIDEOS Y PASTAS,CENTRALIZADO,TEMUCO,IX,TEMUCO IV,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-03,CLIENTES,SALA DE VENTAS,-10,-467,10,467
6532,TALLARINES 78 LUCCHETTI 400 GR,PGC,PGC ALIMENTACION,ALIMENTO BASICO,FIDEOS Y PASTAS,CENTRALIZADO,TEMUCO,IX,TEMUCO IV,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-16,CLIENTES,SALA DE VENTAS,-30,-1440,30,1440
6532,TALLARINES 78 LUCCHETTI 400 GR,PGC,PGC ALIMENTACION,ALIMENTO BASICO,FIDEOS Y PASTAS,CENTRALIZADO,TEMUCO,IX,TEMUCO IV,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-25,CLIENTES,SALA DE VENTAS,-10,-484,10,484
6532,TALLARINES 78 LUCCHETTI 400 GR,PGC,PGC ALIMENTACION,ALIMENTO BASICO,FIDEOS Y PASTAS,CENTRALIZADO,TEMUCO,IX,TEMUCO IV,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-26,CLIENTES,SALA DE VENTAS,-10,-484,10,484
6532,TALLARINES 78 LUCCHETTI 400 GR,PGC,PGC ALIMENTACION,ALIMENTO BASICO,FIDEOS Y PASTAS,CENTRALIZADO,TEMUCO,IX,TEMUCO V,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-08,CLIENTES,SALA DE VENTAS,-10,-469,10,469
6532,TALLARINES 78 LUCCHETTI 400 GR,PGC,PGC ALIMENTACION,ALIMENTO BASICO,FIDEOS Y PASTAS,CENTRALIZADO,TEMUCO,IX,TEMUCO V,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-10,CLIENTES,SALA DE VENTAS,-10,-474,10,474
6532,TALLARINES 78 LUCCHETTI 400 GR,PGC,PGC ALIMENTACION,ALIMENTO BASICO,FIDEOS Y PASTAS,CENTRALIZADO,TEMUCO,IX,TEMUCO V,JUAN PEREZ,DICIEMBRE,2016,Segundo,2016-12-22,CLIENTES,SALA DE VENTAS,-10,-483,10,483
